,target_default,risk_rate,credit_limit,income,n_defaulted_loans,n_issues,ok_since,n_bankruptcies,external_data_provider_credit_checks_last_year,external_data_provider_credit_checks_last_month,external_data_provider_credit_checks_last_2_year,score_rating,score_rating_enc,risk_score,y_target
33,1,0.44,16588.0,47250.48,0.0,7.0,32.0,1.0,0.0,3,2.0,medium,3,0.5941942313235472,1
34,0,0.41,25647.0,152017.46,0.0,10.0,32.0,0.0,1.0,3,2.0,low,2,0.557187659027365,1
35,1,0.42,80661.0,85014.57,0.0,13.0,32.0,0.0,2.0,2,2.0,medium,3,0.5941942313235472,1
36,0,0.33,25647.0,38013.18,0.0,10.0,32.0,0.0,1.0,3,2.0,good,1,0.5197996036202535,1
37,0,0.22,49052.0,43022.34,0.0,8.0,17.0,0.0,0.0,3,0.0,medium,3,0.46548071967725424,0
38,0,0.28,0.0,38028.55,0.0,11.0,32.0,0.0,1.0,3,0.0,low,2,0.46548071967725424,0
39,0,0.26,69429.0,67396.59,0.0,6.0,29.0,0.0,0.0,3,0.0,medium,3,0.4051395622015246,0
40,0,0.29,23348.0,60022.6,0.0,15.0,32.0,0.0,1.0,1,2.0,low,2,0.5197996036202535,1
41,1,0.36,25647.0,30036.14,0.0,10.0,32.0,0.0,1.0,2,2.0,low,2,0.557187659027365,1
42,1,0.23,23961.0,50015.76,0.0,23.0,18.0,0.0,0.0,3,0.0,medium,3,0.46548071967725424,0
43,0,0.41,47013.0,67720.66,0.0,16.0,35.0,0.0,0.0,1,2.0,medium,3,0.557187659027365,1
44,1,0.35,20770.0,75025.25,0.0,17.0,32.0,0.0,1.0,2,0.0,low,2,0.557187659027365,1
45,0,0.34,25647.0,41020.14,0.0,10.0,56.0,0.0,1.0,1,2.0,low,2,0.5197996036202535,1
46,0,0.23,4783.0,24028.72,0.0,8.0,32.0,1.0,2.0,3,0.0,low,2,0.46548071967725424,0
47,0,0.29,3892.0,38621.83,0.0,21.0,32.0,0.0,2.0,2,2.0,medium,3,0.6023187307274919,1
48,0,0.28,18223.0,75260.61,0.0,8.0,32.0,0.0,0.0,0,2.0,low,2,0.46548071967725424,0
49,0,0.41,37118.0,45038.2,0.0,8.0,32.0,0.0,0.0,1,2.0,medium,3,0.557187659027365,1
50,1,0.25,0.0,70029.08,0.0,8.0,32.0,0.0,0.0,2,2.0,low,2,0.46548071967725424,0
51,0,0.31,57456.0,76979.41,0.0,12.0,38.0,0.0,1.0,3,2.0,low,2,0.5197996036202535,1
52,0,0.3,25749.0,43023.17,0.0,9.0,93.0,0.0,0.0,3,0.0,good,1,0.5197996036202535,1
53,0,0.29,54965.0,60031.75,0.0,9.0,27.0,0.0,2.0,3,2.0,medium,3,0.5197996036202535,1
54,0,0.34,25647.0,40022.36,0.0,10.0,32.0,0.0,2.0,3,0.0,low,2,0.5197996036202535,1
55,0,0.22,13287.0,106029.39,0.0,4.0,32.0,0.0,1.0,3,0.0,low,2,0.4051395622015246,0
56,0,0.51,25647.0,55233.12,0.0,10.0,44.0,0.0,0.0,3,0.0,low,2,0.5941942313235472,1
57,0,0.25,17339.0,60013.75,0.0,7.0,13.0,0.0,1.0,2,2.0,low,2,0.46548071967725424,0
58,0,0.34,56512.0,116024.89,0.0,11.0,8.0,0.0,1.0,1,0.0,low,2,0.5197996036202535,1
59,0,0.36,0.0,98014.66,0.0,6.0,32.0,0.0,2.0,3,2.0,low,2,0.557187659027365,1
60,0,0.23,24000.0,71012.93,0.0,7.0,66.0,0.0,2.0,2,0.0,low,2,0.46548071967725424,0
61,0,0.19,25647.0,94026.52,0.0,10.0,23.0,0.0,2.0,2,0.0,medium,3,0.46548071967725424,0
62,0,0.08,15200.0,49531.39,0.0,13.0,32.0,0.0,2.0,3,0.0,low,2,0.31694586105783434,0
63,0,0.17,95059.0,139015.73,0.0,13.0,33.0,0.0,1.0,0,0.0,low,2,0.3868718033895916,0
64,0,0.26,17740.0,34021.24,0.0,8.0,32.0,0.0,0.0,2,0.0,low,2,0.46548071967725424,0
65,0,0.17,0.0,46023.23,0.0,7.0,32.0,0.0,2.0,2,0.0,low,2,0.3868718033895916,0
66,0,0.08,25647.0,75023.3,0.0,10.0,32.0,0.0,1.0,0,0.0,excellent,0,0.31694586105783434,0
67,0,0.34,48589.0,45007.66,0.0,22.0,32.0,0.0,1.0,2,0.0,good,1,0.6023187307274919,1
68,0,0.3,25647.0,133269.17,0.0,10.0,32.0,0.0,1.0,1,0.0,low,2,0.5197996036202535,1
69,0,0.51,19766.0,113829.25,0.0,8.0,12.0,0.0,0.0,2,0.0,low,2,0.5941942313235472,1
70,0,0.24,116659.0,45030.4,0.0,21.0,32.0,0.0,1.0,0,0.0,good,1,0.46548071967725424,0
71,0,0.2,25647.0,66022.08,0.0,10.0,32.0,0.0,0.0,0,0.0,low,2,0.46548071967725424,0
72,1,0.23,52288.0,78015.44,0.0,15.0,32.0,0.0,1.0,1,2.0,low,2,0.46548071967725424,0
73,0,0.24,4750.0,18020.45,0.0,6.0,32.0,0.0,0.0,2,0.0,medium,3,0.4051395622015246,0
74,0,0.28,0.0,34023.26,0.0,5.0,32.0,0.0,2.0,2,2.0,low,2,0.4051395622015246,0
75,0,0.27,25647.0,83116.58,0.0,10.0,32.0,0.0,1.0,3,0.0,low,2,0.46548071967725424,0
76,0,0.17,0.0,80017.4,0.0,8.0,23.0,0.0,0.0,0,2.0,good,1,0.3868718033895916,0
77,0,0.17,62868.0,112014.82,0.0,13.0,44.0,0.0,0.0,3,2.0,low,2,0.3868718033895916,0
78,0,0.18,25647.0,80012.1,0.0,10.0,32.0,0.0,2.0,1,2.0,medium,3,0.46548071967725424,0
79,0,0.12,25647.0,104820.53,0.0,10.0,32.0,0.0,2.0,0,2.0,low,2,0.31694586105783434,0
80,0,0.23,25647.0,30211.92,0.0,10.0,17.0,0.0,0.0,2,2.0,low,2,0.46548071967725424,0
81,0,0.29,0.0,40024.02,0.0,10.0,32.0,0.0,1.0,1,0.0,low,2,0.5197996036202535,1
82,1,0.34,0.0,45013.17,0.0,10.0,30.0,0.0,1.0,1,0.0,low,2,0.5197996036202535,1
83,0,0.31,27625.0,78030.16,0.0,6.0,32.0,0.0,1.0,1,0.0,low,2,0.5197996036202535,1
84,0,0.31,31980.0,115020.25,0.0,8.0,32.0,0.0,1.0,2,2.0,low,2,0.5197996036202535,1
85,0,0.09,98453.0,222016.18,0.0,15.0,32.0,0.0,1.0,3,2.0,low,2,0.31694586105783434,0
86,1,0.43,68925.0,125024.54,0.0,10.0,24.0,0.0,1.0,0,2.0,low,2,0.5941942313235472,1
87,1,0.42,0.0,49034.74,0.0,12.0,21.0,0.0,2.0,1,2.0,low,2,0.5941942313235472,1
88,0,0.45,46103.0,120018.69,1.0,6.0,7.0,0.0,2.0,1,2.0,low,2,0.5941942313235472,1
89,0,0.12,25647.0,62010.95,0.0,10.0,32.0,0.0,1.0,0,0.0,low,2,0.31694586105783434,0
90,0,0.4,0.0,85041.63,0.0,18.0,32.0,0.0,0.0,3,2.0,low,2,0.557187659027365,1
91,0,0.18,5000.0,25027.02,0.0,8.0,32.0,0.0,1.0,0,0.0,low,2,0.46548071967725424,0
92,0,0.46,45819.0,111029.36,0.0,16.0,32.0,1.0,1.0,2,2.0,low,2,0.5941942313235472,1
93,0,0.37,25647.0,100009.08,0.0,9.0,30.0,0.0,0.0,3,2.0,medium,3,0.557187659027365,1
94,0,0.37,70903.0,90011.78,0.0,16.0,29.0,0.0,2.0,0,0.0,medium,3,0.557187659027365,1
95,0,0.16,25647.0,26030.16,0.0,10.0,32.0,1.0,2.0,3,2.0,low,2,0.3868718033895916,0
96,0,0.24,35507.0,72015.32,0.0,9.0,32.0,0.0,0.0,0,0.0,low,2,0.46548071967725424,0
97,0,0.27,52523.0,162025.69,0.0,11.0,32.0,0.0,2.0,2,2.0,medium,3,0.46548071967725424,0
98,0,0.44,25647.0,140009.68,0.0,10.0,32.0,0.0,2.0,0,2.0,low,2,0.5941942313235472,1
99,0,0.39,34307.0,80032.66,0.0,12.0,33.0,0.0,0.0,2,0.0,low,2,0.557187659027365,1
100,1,0.37,42833.0,58024.73,0.0,19.0,32.0,0.0,2.0,3,0.0,medium,3,0.557187659027365,1
101,0,0.22,14195.0,55024.62,0.0,7.0,32.0,0.0,0.0,0,0.0,medium,3,0.46548071967725424,0
102,0,0.21,25647.0,37034.8,0.0,10.0,32.0,0.0,1.0,2,2.0,low,2,0.46548071967725424,0
103,0,0.19,82625.0,100019.42,0.0,18.0,32.0,0.0,0.0,1,2.0,medium,3,0.46548071967725424,0
104,0,0.24,0.0,30034.32,0.0,8.0,32.0,0.0,1.0,2,2.0,low,2,0.46548071967725424,0
105,0,0.49,40036.0,60030.79,0.0,7.0,56.0,0.0,0.0,3,0.0,medium,3,0.5941942313235472,1
106,0,0.11,25647.0,40018.67,0.0,10.0,51.0,0.0,0.0,1,2.0,low,2,0.31694586105783434,0
107,0,0.34,14079.0,30033.8,0.0,9.0,32.0,0.0,1.0,3,2.0,good,1,0.5197996036202535,1
108,0,0.22,18210.0,81267.1,0.0,9.0,32.0,0.0,1.0,1,0.0,low,2,0.46548071967725424,0
109,0,0.46,25647.0,40021.47,0.0,10.0,31.0,0.0,0.0,1,0.0,low,2,0.5941942313235472,1
110,0,0.27,25647.0,91019.83,0.0,10.0,73.0,0.0,1.0,3,2.0,low,2,0.46548071967725424,0
111,1,0.35,25647.0,36021.24,0.0,10.0,32.0,0.0,1.0,0,2.0,low,2,0.557187659027365,1
112,0,0.3,78844.0,100026.3,0.0,10.0,32.0,0.0,1.0,2,0.0,low,2,0.5197996036202535,1
113,0,0.25,25647.0,44038.48,0.0,10.0,32.0,0.0,2.0,1,0.0,medium,3,0.46548071967725424,0
114,0,0.54,14970.0,99618.86,0.0,11.0,49.0,0.0,1.0,3,0.0,low,2,0.5941942313235472,1
115,0,0.36,122546.0,175020.12,0.0,8.0,19.0,0.0,2.0,2,2.0,medium,3,0.557187659027365,1
116,0,0.23,25647.0,105007.12,0.0,10.0,32.0,0.0,0.0,0,2.0,low,2,0.46548071967725424,0
117,0,0.32,24350.0,53514.53,0.0,7.0,24.0,0.0,1.0,0,2.0,medium,3,0.5197996036202535,1
118,0,0.33,18558.0,110027.66,0.0,10.0,11.0,0.0,2.0,1,2.0,low,2,0.5197996036202535,1
119,0,0.41,0.0,46019.96,0.0,7.0,32.0,0.0,2.0,2,0.0,low,2,0.557187659027365,1
120,0,0.3,25647.0,66023.37,0.0,10.0,4.0,0.0,2.0,0,0.0,medium,3,0.5197996036202535,1
121,0,0.49,25647.0,65028.25,0.0,18.0,48.0,0.0,2.0,0,2.0,low,2,0.5941942313235472,1
122,0,0.34,56635.0,84011.19,0.0,12.0,32.0,0.0,2.0,2,0.0,low,2,0.5197996036202535,1
123,0,0.26,0.0,85007.45,0.0,11.0,32.0,0.0,0.0,3,0.0,low,2,0.46548071967725424,0
124,0,0.32,25647.0,35034.27,0.0,10.0,32.0,0.0,2.0,0,0.0,low,2,0.5197996036202535,1
125,0,0.2,43449.0,48017.56,0.0,6.0,32.0,0.0,1.0,2,0.0,medium,3,0.4051395622015246,0
126,0,0.29,0.0,107039.26,0.0,3.0,32.0,0.0,0.0,3,0.0,medium,3,0.5197996036202535,1
127,0,0.3,0.0,115034.11,0.0,8.0,32.0,0.0,0.0,0,0.0,low,2,0.5197996036202535,1
128,1,0.28,27218.0,27004.37,0.0,6.0,32.0,0.0,2.0,3,0.0,medium,3,0.4051395622015246,0
129,1,0.24,99088.0,49024.28,0.0,14.0,32.0,0.0,2.0,3,0.0,medium,3,0.46548071967725424,0
130,0,0.12,25647.0,78515.74,0.0,10.0,32.0,0.0,1.0,0,2.0,low,2,0.31694586105783434,0
131,0,0.28,25647.0,20440.35,0.0,10.0,23.0,0.0,0.0,3,2.0,low,2,0.46548071967725424,0
132,0,0.17,15188.0,36011.06,0.0,6.0,14.0,1.0,2.0,3,2.0,medium,3,0.3868718033895916,0
133,0,0.37,67035.0,76019.21,0.0,17.0,32.0,0.0,2.0,1,0.0,low,2,0.557187659027365,1
134,0,0.17,29335.0,50014.0,0.0,16.0,32.0,0.0,0.0,1,2.0,low,2,0.3868718033895916,0
135,0,0.2,25647.0,68266.86,0.0,9.0,32.0,0.0,0.0,1,2.0,low,2,0.46548071967725424,0
136,0,0.2,10000.0,48017.4,0.0,8.0,76.0,0.0,2.0,3,2.0,low,2,0.46548071967725424,0
137,0,0.41,8784.0,81522.08,0.0,10.0,32.0,0.0,2.0,3,2.0,low,2,0.557187659027365,1
138,0,0.48,24676.0,72029.67,0.0,8.0,11.0,0.0,0.0,1,0.0,medium,3,0.5941942313235472,1
139,0,0.46,9377.0,110022.14,0.0,10.0,36.0,0.0,1.0,1,0.0,low,2,0.5941942313235472,1
140,0,0.27,59706.0,70020.96,0.0,12.0,24.0,0.0,0.0,2,0.0,low,2,0.46548071967725424,0
141,1,0.23,25647.0,41517.87,0.0,10.0,32.0,0.0,0.0,1,2.0,medium,3,0.46548071967725424,0
142,0,0.27,25647.0,52019.56,0.0,10.0,32.0,1.0,2.0,0,2.0,low,2,0.46548071967725424,0
143,0,0.35,0.0,65023.84,0.0,7.0,32.0,0.0,1.0,1,2.0,low,2,0.557187659027365,1
144,0,0.24,5500.0,32024.43,0.0,8.0,32.0,0.0,1.0,0,0.0,low,2,0.46548071967725424,0
145,0,0.22,25647.0,56030.4,0.0,12.0,5.0,0.0,0.0,1,2.0,low,2,0.46548071967725424,0
146,0,0.19,25499.0,50013.36,0.0,7.0,23.0,0.0,1.0,3,2.0,low,2,0.46548071967725424,0
147,1,0.27,28251.0,50023.52,0.0,11.0,32.0,0.0,2.0,1,2.0,medium,3,0.46548071967725424,0
148,0,0.29,91611.0,85016.18,0.0,13.0,46.0,0.0,2.0,0,2.0,excellent,0,0.5197996036202535,1
149,1,0.44,20544.0,43026.03,0.0,8.0,32.0,0.0,2.0,2,0.0,low,2,0.5941942313235472,1
150,1,0.04,35225.0,40023.06,0.0,9.0,32.0,0.0,1.0,3,2.0,low,2,0.31694586105783434,0
151,1,0.09,26391.0,73028.33,0.0,13.0,41.0,0.0,0.0,3,0.0,low,2,0.31694586105783434,0
152,0,0.54,0.0,47037.27,0.0,6.0,32.0,0.0,0.0,0,0.0,low,2,0.5941942313235472,1
153,0,0.33,25647.0,50032.64,0.0,10.0,32.0,0.0,1.0,2,2.0,low,2,0.5197996036202535,1
154,0,0.39,25647.0,68028.51,0.0,10.0,49.0,0.0,2.0,0,0.0,low,2,0.557187659027365,1
155,0,0.28,3971.0,40016.2,0.0,11.0,32.0,0.0,0.0,0,0.0,low,2,0.46548071967725424,0
156,0,0.28,25647.0,25013.76,0.0,11.0,34.0,0.0,0.0,0,2.0,medium,3,0.46548071967725424,0
157,0,0.25,25647.0,76012.94,0.0,10.0,32.0,0.0,0.0,0,2.0,low,2,0.46548071967725424,0
158,0,0.2,68708.0,140025.94,0.0,14.0,11.0,0.0,1.0,0,0.0,low,2,0.46548071967725424,0
159,1,0.24,21431.0,100020.14,0.0,9.0,32.0,0.0,1.0,2,2.0,medium,3,0.46548071967725424,0
160,0,0.27,6614.0,28531.19,0.0,9.0,33.0,0.0,0.0,1,0.0,low,2,0.46548071967725424,0
161,1,0.31,23076.0,67533.87,0.0,15.0,32.0,0.0,1.0,0,2.0,low,2,0.5197996036202535,1
162,0,0.15,25647.0,123014.36,0.0,10.0,48.0,0.0,2.0,3,0.0,low,2,0.31694586105783434,0
163,1,0.31,18324.0,20016.65,0.0,7.0,32.0,0.0,0.0,3,2.0,medium,3,0.5197996036202535,1
164,0,0.38,10050.0,70048.51,0.0,10.0,32.0,0.0,1.0,2,2.0,medium,3,0.557187659027365,1
165,0,0.24,25647.0,20018.48,0.0,10.0,32.0,0.0,2.0,1,0.0,low,2,0.46548071967725424,0
166,0,0.59,10000.0,50026.38,0.0,16.0,32.0,0.0,0.0,2,0.0,low,2,0.5941942313235472,1
167,1,0.28,25647.0,41012.69,0.0,10.0,32.0,0.0,1.0,1,0.0,low,2,0.46548071967725424,0
168,0,0.32,60762.0,43022.6,0.0,24.0,32.0,0.0,1.0,1,2.0,medium,3,0.6023187307274919,1
169,1,0.26,21179.0,70057.83,0.0,8.0,59.0,0.0,2.0,2,0.0,medium,3,0.46548071967725424,0
170,0,0.07,25647.0,65016.98,0.0,10.0,32.0,0.0,0.0,2,0.0,low,2,0.31694586105783434,0
171,0,0.31,0.0,89076.58,0.0,8.0,32.0,0.0,0.0,3,0.0,low,2,0.5197996036202535,1
172,1,0.25,6250.0,43041.09,0.0,9.0,61.0,0.0,1.0,1,2.0,low,2,0.46548071967725424,0
173,0,0.35,15000.0,87014.23,0.0,12.0,32.0,0.0,2.0,3,2.0,low,2,0.557187659027365,1
174,0,0.23,26278.0,84021.21,0.0,20.0,32.0,0.0,0.0,3,0.0,low,2,0.46548071967725424,0
175,0,0.17,101070.0,80969.68,0.0,18.0,55.0,0.0,2.0,3,2.0,low,2,0.3868718033895916,0
176,0,0.34,14750.0,11445.2,0.0,9.0,32.0,0.0,0.0,1,2.0,medium,3,0.5197996036202535,1
177,0,0.39,25647.0,60034.62,0.0,10.0,32.0,0.0,0.0,3,0.0,low,2,0.557187659027365,1
178,0,0.22,23068.0,60020.47,0.0,8.0,84.0,0.0,0.0,1,0.0,medium,3,0.46548071967725424,0
179,0,0.25,25647.0,137027.73,0.0,15.0,28.0,0.0,2.0,1,0.0,medium,3,0.46548071967725424,0
180,0,0.16,30537.0,42022.96,0.0,8.0,56.0,0.0,0.0,3,2.0,good,1,0.3868718033895916,0
181,1,0.38,60587.0,78227.66,0.0,19.0,32.0,0.0,1.0,3,2.0,medium,3,0.557187659027365,1
182,0,0.44,29787.0,136019.85,0.0,14.0,32.0,0.0,1.0,1,0.0,medium,3,0.5941942313235472,1
183,0,0.32,94654.0,84035.38,0.0,17.0,24.0,0.0,2.0,1,0.0,low,2,0.5197996036202535,1
184,0,0.21,91767.0,68019.19,0.0,8.0,44.0,1.0,0.0,1,2.0,low,2,0.46548071967725424,0
185,0,0.51,8380.0,70023.09,0.0,6.0,32.0,0.0,0.0,0,2.0,low,2,0.5941942313235472,1
186,0,0.26,104292.0,100035.97,0.0,17.0,32.0,0.0,2.0,1,0.0,low,2,0.46548071967725424,0
187,1,0.44,25647.0,66038.23,0.0,10.0,75.0,1.0,1.0,3,2.0,low,2,0.5941942313235472,1
188,0,0.17,25647.0,45017.25,0.0,18.0,32.0,0.0,0.0,0,2.0,low,2,0.3868718033895916,0
189,0,0.18,26639.0,73027.05,0.0,18.0,32.0,0.0,2.0,2,0.0,low,2,0.46548071967725424,0
190,0,0.42,25647.0,85017.46,0.0,10.0,32.0,0.0,0.0,0,2.0,low,2,0.5941942313235472,1
191,0,0.24,73845.0,81017.11,0.0,14.0,32.0,0.0,2.0,1,0.0,low,2,0.46548071967725424,0
192,1,0.34,57405.0,75018.28,0.0,11.0,32.0,0.0,2.0,3,0.0,good,1,0.5197996036202535,1
193,0,0.11,173094.0,144040.68,0.0,17.0,33.0,0.0,2.0,2,2.0,low,2,0.31694586105783434,0
194,0,0.26,122877.0,66563.91,0.0,11.0,48.0,0.0,0.0,2,2.0,low,2,0.46548071967725424,0
195,1,0.28,25647.0,74028.03,0.0,10.0,4.0,0.0,1.0,0,2.0,good,1,0.46548071967725424,0
196,0,0.43,54122.0,62034.17,0.0,17.0,6.0,1.0,0.0,1,2.0,low,2,0.5941942313235472,1
197,1,0.41,28885.0,93023.47,0.0,8.0,44.0,0.0,0.0,0,0.0,low,2,0.557187659027365,1
198,0,0.48,46908.0,50020.37,0.0,12.0,27.0,0.0,0.0,1,2.0,medium,3,0.5941942313235472,1
199,0,0.13,25647.0,28821.56,0.0,10.0,35.0,0.0,2.0,2,2.0,low,2,0.31694586105783434,0
200,0,0.24,117609.0,60045.47,0.0,9.0,32.0,0.0,2.0,3,0.0,medium,3,0.46548071967725424,0
201,0,0.28,25647.0,56024.32,0.0,10.0,32.0,0.0,1.0,2,0.0,low,2,0.46548071967725424,0
202,0,0.31,25647.0,55023.35,0.0,10.0,32.0,0.0,0.0,1,2.0,low,2,0.5197996036202535,1
203,1,0.45,33120.0,48011.79,0.0,9.0,32.0,0.0,2.0,2,2.0,excellent,0,0.5941942313235472,1
204,0,0.17,64667.0,85037.06,0.0,17.0,67.0,0.0,0.0,3,2.0,good,1,0.3868718033895916,0
205,0,0.21,26864.0,113010.94,0.0,9.0,32.0,0.0,2.0,3,0.0,good,1,0.46548071967725424,0
206,0,0.24,6629.0,33016.0,0.0,13.0,32.0,1.0,0.0,0,0.0,low,2,0.46548071967725424,0
207,0,0.41,70755.0,114015.1,0.0,21.0,32.0,0.0,0.0,2,0.0,low,2,0.557187659027365,1
208,0,0.32,189288.0,400033.27,0.0,12.0,32.0,0.0,2.0,1,2.0,low,2,0.5197996036202535,1
209,0,0.13,83441.0,165015.88,0.0,16.0,32.0,0.0,1.0,2,2.0,medium,3,0.31694586105783434,0
210,0,0.37,45938.0,90026.41,0.0,8.0,23.0,0.0,2.0,0,2.0,low,2,0.557187659027365,1
211,0,0.16,25647.0,57021.0,0.0,10.0,32.0,0.0,1.0,1,2.0,medium,3,0.3868718033895916,0
212,0,0.3,4000.0,24017.74,0.0,5.0,39.0,0.0,2.0,3,0.0,low,2,0.5197996036202535,1
213,0,0.19,25647.0,40021.06,0.0,10.0,32.0,0.0,1.0,2,0.0,good,1,0.46548071967725424,0
214,0,0.07,25647.0,22005.91,0.0,10.0,52.0,0.0,1.0,0,0.0,low,2,0.31694586105783434,0
215,0,0.26,7338.0,25037.85,0.0,12.0,32.0,0.0,1.0,0,0.0,low,2,0.46548071967725424,0
216,0,0.28,25647.0,55031.34,0.0,10.0,41.0,0.0,1.0,0,0.0,medium,3,0.46548071967725424,0
217,0,0.23,0.0,42622.86,0.0,9.0,31.0,0.0,0.0,2,0.0,medium,3,0.46548071967725424,0
218,0,0.22,0.0,50018.95,0.0,3.0,32.0,0.0,0.0,1,0.0,low,2,0.4051395622015246,0
219,0,0.29,31666.0,104035.61,0.0,19.0,59.0,0.0,2.0,2,0.0,low,2,0.5197996036202535,1
220,0,0.4,25647.0,57747.06,0.0,10.0,32.0,0.0,2.0,1,2.0,medium,3,0.557187659027365,1
221,1,0.37,25647.0,25807.43,0.0,10.0,32.0,0.0,1.0,3,2.0,medium,3,0.557187659027365,1
222,1,0.37,25647.0,30027.54,0.0,10.0,32.0,0.0,2.0,2,2.0,medium,3,0.557187659027365,1
223,1,0.5,111542.0,150025.66,0.0,13.0,32.0,0.0,0.0,3,2.0,low,2,0.5941942313235472,1
224,0,0.09,33064.0,90010.95,0.0,9.0,32.0,0.0,0.0,2,2.0,low,2,0.31694586105783434,0
225,0,0.24,38015.0,85018.34,0.0,12.0,32.0,0.0,0.0,2,2.0,low,2,0.46548071967725424,0
226,0,0.33,0.0,45018.76,0.0,8.0,32.0,0.0,1.0,0,2.0,low,2,0.5197996036202535,1
227,0,0.23,0.0,50024.7,0.0,8.0,72.0,0.0,0.0,2,0.0,low,2,0.46548071967725424,0
228,0,0.29,25647.0,16022.73,0.0,7.0,32.0,0.0,1.0,0,0.0,medium,3,0.5197996036202535,1
229,0,0.58,28237.0,54013.26,0.0,18.0,6.0,0.0,0.0,3,0.0,medium,3,0.5941942313235472,1
230,0,0.27,0.0,18072.34,0.0,4.0,32.0,0.0,1.0,2,2.0,low,2,0.4051395622015246,0
231,0,0.29,59007.0,85047.67,0.0,10.0,13.0,0.0,2.0,3,0.0,good,1,0.5197996036202535,1
232,0,0.33,42346.0,37019.11,0.0,19.0,32.0,0.0,2.0,3,2.0,low,2,0.5197996036202535,1
